target,model,horizon,imputation_mode,headline_rmse,no_imputation_rmse,rmse_change,rmse_change_percent,warm_start
co2_emissions,MT-GRU,1,comparison_imputed_vs_no_imputation,1409.2332786886818,1431.4692097787677,22.23593109008584,1.5778743964077253,False
co2_emissions,MT-GRU,1,comparison_imputed_vs_no_imputation,1379.9613835886466,1387.0601055015934,7.098721912946758,0.5144145334332645,True
co2_emissions,MT-GRU,2,comparison_imputed_vs_no_imputation,1442.165230792847,1465.0746364457118,22.909405652864734,1.588542364197064,False
co2_emissions,MT-GRU,2,comparison_imputed_vs_no_imputation,1409.8087151621935,1429.646250059057,19.83753489686319,1.4071082611076746,True
co2_emissions,MT-GRU,3,comparison_imputed_vs_no_imputation,1469.4286040916395,1492.8257611942363,23.397157102596793,1.5922622601361618,False
co2_emissions,MT-GRU,3,comparison_imputed_vs_no_imputation,1437.6137247273105,1456.3322157217754,18.7184909944649,1.3020528861475265,True
co2_emissions,ST-GRU,1,comparison_imputed_vs_no_imputation,1428.3673157519618,1445.2838311842822,16.916515432320466,1.184325295445086,False
co2_emissions,ST-GRU,1,comparison_imputed_vs_no_imputation,1416.5510837936013,1437.6720237213613,21.12093992775999,1.491011525768415,True
co2_emissions,ST-GRU,2,comparison_imputed_vs_no_imputation,1457.6660095808384,1475.3193032216648,17.653293640826405,1.2110657396684943,False
co2_emissions,ST-GRU,2,comparison_imputed_vs_no_imputation,1448.4550060972936,1470.2103399626649,21.755333865371313,1.5019682195022905,True
co2_emissions,ST-GRU,3,comparison_imputed_vs_no_imputation,1485.37665947073,1504.135085018066,18.758425547336177,1.2628733209003156,False
co2_emissions,ST-GRU,3,comparison_imputed_vs_no_imputation,1476.3265151384812,1498.4458171873837,22.119302048902455,1.4982662589940436,True
gdp_growth,MT-GRU,1,comparison_imputed_vs_no_imputation,3.656574159665413,3.631188274160485,-0.0253858855049284,-0.6942532653912121,False
gdp_growth,MT-GRU,1,comparison_imputed_vs_no_imputation,3.584032222203154,3.525330468730997,-0.0587017534721572,-1.6378690210567475,True
gdp_growth,MT-GRU,2,comparison_imputed_vs_no_imputation,3.6918478005705007,3.708980337672723,0.0171325371022228,0.4640640142200692,False
gdp_growth,MT-GRU,2,comparison_imputed_vs_no_imputation,3.6485265534371982,3.698378863299731,0.0498523098625325,1.366368289565214,True
gdp_growth,MT-GRU,3,comparison_imputed_vs_no_imputation,3.650084443185375,3.6980970424451463,0.0480125992597715,1.3153832468015891,False
gdp_growth,MT-GRU,3,comparison_imputed_vs_no_imputation,3.5655361538586297,3.674213812210029,0.1086776583513993,3.048003264075394,True
gdp_growth,ST-GRU,1,comparison_imputed_vs_no_imputation,3.6407454745681904,3.629932610104509,-0.0108128644636815,-0.296995891067171,False
gdp_growth,ST-GRU,1,comparison_imputed_vs_no_imputation,3.5890288038738696,3.573358562122495,-0.0156702417513745,-0.4366151014018221,True
gdp_growth,ST-GRU,2,comparison_imputed_vs_no_imputation,3.6531489382770257,3.635471915432621,-0.017677022844404,-0.4838845375064616,False
gdp_growth,ST-GRU,2,comparison_imputed_vs_no_imputation,3.696642708057451,3.7370140166348658,0.0403713085774146,1.0921074003018625,True
gdp_growth,ST-GRU,3,comparison_imputed_vs_no_imputation,3.6396154809051833,3.6936263819421145,0.0540109010369311,1.4839727251489332,False
gdp_growth,ST-GRU,3,comparison_imputed_vs_no_imputation,3.63104082845147,3.603717364117925,-0.0273234643335449,-0.7524967529819139,True
