model,target,imputation_mode,horizon,rmse_from_scratch,rmse_warm_start,delta_warm_minus_scratch
MT-GRU,co2_emissions,imputed,1,1409.2332786886818,1379.9613835886466,-29.27189510003518
MT-GRU,co2_emissions,no_imputation,1,1431.4692097787677,1387.0601055015934,-44.409104277174265
MT-GRU,co2_emissions,imputed,2,1442.165230792847,1409.8087151621935,-32.356515630653575
MT-GRU,co2_emissions,no_imputation,2,1465.0746364457118,1429.646250059057,-35.42838638665512
MT-GRU,co2_emissions,imputed,3,1469.4286040916395,1437.6137247273105,-31.814879364329045
MT-GRU,co2_emissions,no_imputation,3,1492.8257611942363,1456.3322157217754,-36.49354547246094
ST-GRU,co2_emissions,imputed,1,1428.3673157519618,1416.5510837936013,-11.816231958360504
ST-GRU,co2_emissions,no_imputation,1,1445.2838311842822,1437.6720237213613,-7.611807462920979
ST-GRU,co2_emissions,imputed,2,1457.6660095808384,1448.4550060972936,-9.2110034835448
ST-GRU,co2_emissions,no_imputation,2,1475.3193032216648,1470.2103399626649,-5.108963258999893
ST-GRU,co2_emissions,imputed,3,1485.37665947073,1476.3265151384812,-9.050144332248692
ST-GRU,co2_emissions,no_imputation,3,1504.135085018066,1498.4458171873837,-5.689267830682411
MT-GRU,gdp_growth,imputed,1,3.656574159665413,3.584032222203154,-0.0725419374622586
MT-GRU,gdp_growth,no_imputation,1,3.631188274160485,3.525330468730997,-0.1058578054294874
MT-GRU,gdp_growth,imputed,2,3.6918478005705007,3.6485265534371982,-0.0433212471333024
MT-GRU,gdp_growth,no_imputation,2,3.708980337672723,3.698378863299731,-0.0106014743729927
MT-GRU,gdp_growth,imputed,3,3.650084443185375,3.5655361538586297,-0.0845482893267455
MT-GRU,gdp_growth,no_imputation,3,3.6980970424451463,3.674213812210029,-0.0238832302351177
ST-GRU,gdp_growth,imputed,1,3.6407454745681904,3.5890288038738696,-0.0517166706943208
ST-GRU,gdp_growth,no_imputation,1,3.629932610104509,3.573358562122495,-0.0565740479820138
ST-GRU,gdp_growth,imputed,2,3.6531489382770257,3.696642708057451,0.0434937697804258
ST-GRU,gdp_growth,no_imputation,2,3.635471915432621,3.7370140166348658,0.1015421012022446
ST-GRU,gdp_growth,imputed,3,3.6396154809051833,3.63104082845147,-0.0085746524537131
ST-GRU,gdp_growth,no_imputation,3,3.6936263819421145,3.603717364117925,-0.0899090178241892
