metric_label,pooled_value,within_imputation_variance,between_imputation_variance,total_variance,imputation_count
co2_emissions - Bias,321.7917139956826,39.884523262075106,0.1390598426278811,40.05139507322856,5
co2_emissions - DA,0.46428571428571425,0.00027581092455449414,2.075795692238087e-05,0.0003007204728613512,5
co2_emissions - MAE,374.32404142680923,110.9447957587377,0.0014197961796195732,110.94649951415325,5
co2_emissions - MAPE,342.07406198601973,526.1367059203094,2.506593828758799,529.14461851482,5
co2_emissions - MSE,2053534.6986842107,27366875721.213245,53179.943443768054,27366939537.14538,5
co2_emissions - R2,-0.05938070447821362,1.7373954502721993e-05,2.1571716962542934e-08,1.7399840563077046e-05,5
co2_emissions - RMSE,1409.2332786886818,3755.3477052746484,0.00778201890571111,3755.3570436973355,5
co2_emissions - nRMSE,3.4919938263140224,0.004336108049169484,5.2202278845081756e-08,0.0043361706919040986,5
gdp_growth - Bias,-0.666449832671175,0.29204869532699956,0.00026897616719569634,0.2923714667276344,5
gdp_growth - DA,0.641509854491037,0.0012759732958006263,1.1118769163308987e-05,0.001289315818796597,5
gdp_growth - MAE,2.804630092570656,0.11731456337803374,5.095404031168993e-05,0.11737570822640776,5
gdp_growth - MAPE,363.6426340605083,10873.069551206583,2.3359080675777943,10875.872640887677,5
gdp_growth - MSE,16.20789297254462,16.78162894323882,0.004394160379744422,16.786901935694516,5
gdp_growth - R2,-0.37454824384890106,0.030957475723111798,3.781651609180465e-05,0.031002855542421964,5
gdp_growth - RMSE,3.656574159665413,0.1576293130217949,3.844127436163437e-05,0.15767544255102886,5
gdp_growth - nRMSE,0.9185408680062546,0.00792581967880296,3.0953302116757174e-06,0.007929534075056971,5
